host,file,n_obs,best_kernel,logL,BIC,AIC,n_params,convergence_gap,ks_statistic,ks_pvalue,lb_statistic,lb_pvalue,lb_df,whitened_std,whitened_kurt_excess,n,p_log_sigma,p_log_rho,p_log_Q,p_log_jitter,p_log_period,p_log_Q0,p_log_dQ,p_logit_f,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
HD 142,UID_0000522_RVC_001.tbl,53,sho,-182.69585718141036,381.2728820170292,373.3917143628207,4,1.3473525990885662,0.109237531830076,0.5166682618013164,10.44447018916018,0.4024007321356393,10,0.9530149680827441,-0.5064837566447005,53,1.2174769875690852,7.2838540858871905,6.907755278982137,1.1231618633803628,,,,,,,,,
HD 142,UID_0000522_RVC_002.tbl,27,matern32,-90.88913718349725,191.6657849650075,187.7782743669945,3,2.083112349282601e-09,0.1222299996287809,0.7701628863409795,7.217909691337609,0.20493196733453556,5,0.77841428834433,-0.8287129004749749,27,-2.7038189798449417,7.214537158280471,,-7.308989165833033,,,,,,,,,
GJ 3021,UID_0001292_RVC_001.tbl,61,rotation,-249.80794673472104,524.281136654482,511.6158934694421,6,13.154361563659222,0.08337328284023043,0.7587046243753901,12.795322674252459,0.3840914482045792,12,0.916821437981606,1.2146652445804298,61,2.762447295908299,,,-1.1885000990331096,1.9715945052482269,3.1580647663996646,-1.210545159665006,-0.38078751004984546,,,,,
HD 1461,UID_0001499_RVC_002.tbl,28,matern32,-47.44737387316377,104.89136127685315,100.89474774632754,3,0.0009147211956062051,0.13351887354956762,0.6518485825969706,3.886575115956922,0.565859353760327,5,0.9970311272197044,0.6739300955072447,28,-4.331847486644332,-2.064828836332594,,0.15558366527542775,,,,,,,,,
HD 2039,UID_0001931_RVC_002.tbl,36,sho,-159.2058622766242,332.74580030707284,326.4117245532484,4,1.9505299051672296,0.13154124099703615,0.519315931688243,2.053569126017645,0.9568159773191032,7,1.0151131518111218,1.8997643480437771,36,3.00663416748147,4.717521066254367,3.6479638436481845,2.335048861360779,,,,,,,,,
HD 2638,UID_0002350_RVC_001.tbl,28,sho,-69.28031049047736,151.88943902165553,146.56062098095472,4,3.5246071436315134,0.1048494280648734,0.8865229675768328,9.068431593637047,0.106365585920291,5,0.9883588008382288,-0.26316287967598395,28,0.6064402605511666,2.6205170721597777,6.907755278982137,0.7370089622192213,,,,,,,,,
54 Psc,UID_0003093_RVC_001.tbl,42,sho,-111.47375047968674,237.89817943250696,230.94750095937349,4,3.277309023985708e-05,0.07867244667008877,0.9390754738079263,8.39339039956546,0.3960155930033239,8,1.0335941655491998,-0.2358757577069297,42,1.2540064763589,4.468877188445498,-0.09629353351208986,-7.721264955756059,,,,,,,,,
54 Psc,UID_0003093_RVC_002.tbl,121,matern32,-391.7451648813233,797.8777013994369,789.4903297626466,3,2.0328168541988134,0.058006838935721006,0.7881867707926475,27.27971623213909,0.1275762252068452,20,1.0046250397503493,-0.2879866194676657,121,1.6879743796274693,1.8923692040601694,,0.8557317984509983,,,,,,,,,
HD 3651,UID_0003093_RVC_003.tbl,26,sho,-74.52374062681885,162.07986740572363,157.0474812536377,4,3.2094686427354873,0.1486653978874956,0.5633468066443442,3.8708682308948363,0.5681536933789373,5,0.9610224458200141,0.9586419953637302,26,0.922484373066312,4.6248203626027005,6.907755278982137,0.9543561243834707,,,,,,,,,
HD 3651,UID_0003093_RVC_004.tbl,112,matern32,-355.3756560922558,724.9068087983968,716.7513121845116,3,2.792078578255598,0.06410484573830866,0.722154846017101,32.19362828885919,0.04127829757047241,20,1.0091387771658038,-0.1515669663891237,112,1.4986817743569627,2.2513695253086925,,0.854071527015894,,,,,,,,,
