pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
Kepler-6 b,Kepler-6,,,TIC 27916356,296.8372475,48.2399695,587.039,3.2346996,4e-07,-4e-07,0.04852,0.00074,-0.00133,,,,88.93,0.19,-0.17,,,,,,,2454954.486528,9e-06,-1.2e-05,0.668,0.038,-0.035,,,,80.9,2.6,-2.6,1.209,0.044,-0.038,1.391,0.017,-0.034,5647.0,44.0,-44.0,Transit,2009.0,1
Kepler-491 b,Kepler-491,,,TIC 158388163,287.1305782,42.3501533,630.785,4.225384512,2.68e-07,-2.68e-07,,,,,,,,,,,,,,,,2454970.5606743,5.34e-05,-5.34e-05,,,,,,,,,,1.04,0.026,-0.028,1.03,0.092,-0.059,5582.0,53.81,-61.11,Transit,2016.0,1
Kepler-257 b,Kepler-257,,,TIC 273132699,297.3159994,46.0232642,780.256,2.382667,6e-06,-6e-06,0.034,,,,,,,,,,,,,,,2455003.6633,0.00125,-0.00125,,,,,,,,,,,,,1.037,0.518,-0.518,5180.0,200.0,-200.0,Transit,2014.0,1
Kepler-216 b,Kepler-216,,,TIC 270698499,293.7280695,46.1291139,1187.47,7.693641,3.1e-05,-3.1e-05,0.079,,,,,,,,,,,,,,,2455009.50106,0.00237,-0.00237,,,,,,,,,,,,,1.26,0.243,-0.243,6091.0,120.0,-120.0,Transit,2014.0,1
Kepler-32 c,Kepler-32,,,TIC 273590427,297.8423073,46.5743595,323.847,8.7522,0.0003,-0.0003,0.09,,,,,,,,,,,,,,,2454977.378,0.013,-0.013,0.5,,,,,,,,,0.58,0.05,-0.05,0.53,0.04,-0.04,3900.0,200.0,-200.0,Transit,2011.0,1
Kepler-259 c,Kepler-259,,,TIC 158664318,288.2119707,46.6150461,1002.14,36.924931,0.000181,-0.000181,0.217,,,,,,,,,,,,,,,2455007.22336,0.00267,-0.00267,,,,,,,,,,,,,0.898,0.435,-0.435,5938.0,200.0,-200.0,Transit,2014.0,1
Kepler-148 c,Kepler-148,,,TIC 159171904,289.7861626,46.8588176,791.163,4.180043,4e-06,-4e-06,0.05,,,,,,,,,,,,,,,2455006.71928,0.00054,-0.00054,,,,,,,,,,,,,0.851,0.413,-0.413,5272.0,200.0,-200.0,Transit,2014.0,1
Kepler-222 d,Kepler-222,,,TIC 158625100,287.9060885,46.9377479,758.854,28.081912,6.9e-05,-6.9e-05,0.18,,,,,,,,,,,,,,,2455027.91404,0.00129,-0.00129,,,,,,,,,,,,,0.869,0.38,-0.38,5433.0,200.0,-200.0,Transit,2014.0,1
Kepler-29 c,Kepler-29,,,TIC 273875635,298.348382,47.4913021,832.532,13.28613,0.00026,-0.00021,,,,0.0,,,,,,,,,,,,,,,0.01415851,0.00346097,-0.00346097,,,,,,,0.761,0.024,-0.028,0.732,0.033,-0.031,5378.0,60.0,-60.0,Transit,2011.0,1
Kepler-179 b,Kepler-179,,,TIC 268057162,298.6636163,47.7619329,605.68,2.735926,8e-06,-8e-06,0.036,,,,,,,,,,,,,,,2455004.09382,0.00156,-0.00156,,,,,,,,,,,,,0.759,0.307,-0.307,5302.0,200.0,-200.0,Transit,2014.0,1
