index,file,host,n_obs,rms_over_sigma
0,UID_0000522_RVC_001.tbl,HD 142,53,1.1646166520340027
1,UID_0000522_RVC_002.tbl,HD 142,27,0.837692448479424
2,UID_0001292_RVC_001.tbl,GJ 3021,61,1.8763154763848466
3,UID_0001499_RVC_001.tbl,HD 1461,136,3.551844060787638
4,UID_0001499_RVC_002.tbl,HD 1461,28,2.2130783891547807
5,UID_0001640_RVC_001.tbl,2MASS J00203151+3058293,28,
6,UID_0001640_RVC_002.tbl,2MASS J00203151+3058293,28,
7,UID_0001931_RVC_001.tbl,HD 2039,41,4.51939395805977
8,UID_0001931_RVC_002.tbl,HD 2039,36,1.940090435039577
9,UID_0002350_RVC_001.tbl,HD 2638,28,1.9228250817996837
10,UID_0002611_RVC_001.tbl,HD 2952,63,4.957405615910292
11,UID_0003093_RVC_001.tbl,54 Psc,42,1.882634001767141
12,UID_0003093_RVC_002.tbl,54 Psc,121,2.1205090859907902
13,UID_0003093_RVC_003.tbl,HD 3651,26,1.594476513695851
14,UID_0003093_RVC_004.tbl,HD 3651,112,1.963718049426806
15,UID_0003093_RVC_005.tbl,HD 3651,83,3.7804592732006825
16,UID_0003093_RVC_006.tbl,HD 3651,35,1.3312713599792776
17,UID_0003093_RVC_007.tbl,HD 3651,4,3.790495542649838e-08
18,UID_0003093_RVC_008.tbl,HD 3651,54,2.9565367127759874
19,UID_0003093_RVC_009.tbl,HD 3651,29,2.7126159620502133
20,UID_0003093_RVC_010.tbl,HD 3651,139,3.705599328641637
21,UID_0003093_RVC_011.tbl,HD 3651,16,1.463858325441851
22,UID_0003479_RVC_001.tbl,HD 4208,41,1.0995610640210405
23,UID_0003479_RVC_002.tbl,HD 4208,35,1.192301655268807
24,UID_0003497_RVC_001.tbl,HD 4308,72,3.294694929152778
25,UID_0003497_RVC_002.tbl,HD 4308,41,1.344111990260691
26,UID_0003502_RVC_001.tbl,HD 4203,23,3.3616079586494423
27,UID_0003502_RVC_002.tbl,HD 4203,14,1.1560562493912576
28,UID_0003574_RVC_001.tbl,HD 4313,28,2.865427216645474
29,UID_0003834_RVC_001.tbl,HD 4732,48,2.0516445513191064
30,UID_0004297_RVC_001.tbl,HD 5319,30,2.642398900051975
31,UID_0004552_RVC_001.tbl,HD 5608,43,1.9525556108308761
32,UID_0005054_RVC_001.tbl,HD 6434,130,1.715922802306765
33,UID_0006379_RVC_001.tbl,HD 7924,93,3.225056850452237
34,UID_0006643_RVC_001.tbl,HD 8574,10,2.879367526517034
35,UID_0006643_RVC_002.tbl,HD 8574,16,1.3660587685478045
36,UID_0006643_RVC_003.tbl,HD 8574,41,1.870461716255699
37,UID_0006643_RVC_004.tbl,HD 8574,44,1.4231263645474956
38,UID_0006643_RVC_005.tbl,HD 8574,16,1.8486588418692167
39,UID_0007513_RVC_001.tbl,HR 458,52,1.6123776643090042
40,UID_0007513_RVC_002.tbl,HR 458,89,1.9632469270300699
41,UID_0007513_RVC_003.tbl,Ups And,268,2.0243165786336914
42,UID_0007513_RVC_004.tbl,ups And,248,2.2673260069480325
43,UID_0007513_RVC_005.tbl,Ups And,71,2.174967271171433
44,UID_0007513_RVC_006.tbl,ups And,41,1.549495530534212
45,UID_0007513_RVC_007.tbl,ups And,284,2.360605876507776
46,UID_0007513_RVC_008.tbl,HD 9826,8,0.9444235493206504
47,UID_0007513_RVC_009.tbl,HD 9826,312,5.531775364982145
48,UID_0007513_RVC_010.tbl,HD 9826,17,1.5488281514393467
49,UID_0007978_RVC_001.tbl,HD 10647,28,1.7419537539587415
50,UID_0008102_RVC_001.tbl,HD 10700,191,3.6986721494290706
51,UID_0008102_RVC_002.tbl,HD 10700,87,3.356118488737971
52,UID_0008102_RVC_003.tbl,HD 10700,535,4.3880643040546765
53,UID_0008102_RVC_004.tbl,HD 10700,95,0.9752509573256897
54,UID_0008159_RVC_001.tbl,HD 10697,59,2.3528337736592406
55,UID_0008159_RVC_002.tbl,HD 10697,35,2.076201620101379
56,UID_0008159_RVC_003.tbl,HD 10697,40,0.975058572362348
57,UID_0008159_RVC_004.tbl,HD 10697,32,1.2026297628235365
58,UID_0008770_RVC_001.tbl,HD 11506,26,3.0103979367166556
59,UID_0009094_RVC_001.tbl,HD 11964,87,1.5729539765903369
60,UID_0009094_RVC_002.tbl,HD 11964,119,2.673759631181709
61,UID_0009683_RVC_001.tbl,HD 12661,57,3.022683060651282
62,UID_0009683_RVC_002.tbl,HD 12661,51,1.5881011281441633
63,UID_0009683_RVC_003.tbl,HD 12661,15,0.8952053430790704
64,UID_0009683_RVC_004.tbl,HD 12661,20,1.8408100223401764
65,UID_0009683_RVC_005.tbl,HD 12661,45,2.4648577365467457
66,UID_0009683_RVC_006.tbl,HD 12661,41,1.49519894501011
67,UID_0009683_RVC_007.tbl,HD 12661,66,6.079998724472519
68,UID_0009683_RVC_008.tbl,HD 12661,40,1.6421135652706964
69,UID_0009884_RVC_001.tbl,alpha Ari,678,2.830491505160788
70,UID_0010138_RVC_001.tbl,GJ 86,23,0.8895751452093215
71,UID_0010138_RVC_002.tbl,GJ 86,42,1.5531383319102108
72,UID_0010138_RVC_003.tbl,Gl 86,24,6.624878643539799
