file,host_in_file,n_obs,t_baseline_days,telescope,reference,pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
UID_0000522_RVC_001.tbl,HD 142,53,2801.23794899974,3.9m Anglo-Australian Telescope (AAT),"Butler et al. 2006 (ApJ, 646, 505)",HD 142 b,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,351.43394,0.3746,-0.3777,1.039,0.046,-0.051,0.158,0.033,-0.03,,,,279.518,12.954,-13.394,2450530.681,13.134,-13.481,,,,1.249,0.12,-0.13,1.249,0.12,-0.13,32.043,1.058,-1.115,1.21,0.17,-0.17,,,,,,,Radial Velocity,2001.0,1.0
UID_0000522_RVC_001.tbl,HD 142,53,2801.23794899974,3.9m Anglo-Australian Telescope (AAT),"Butler et al. 2006 (ApJ, 646, 505)",HD 142 c,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,10159.64279,380.8401,-321.75084,9.811,0.515,-0.52,0.277,0.026,-0.027,90.374,10.495,-12.319,279.051,5.178,-6.022,2447170.556,378.654,-464.595,,,,10.901,1.278,-0.937,,,,93.181,2.088,-2.173,1.21,0.17,-0.17,,,,,,,Radial Velocity,2012.0,1.0
UID_0000522_RVC_001.tbl,HD 142,53,2801.23794899974,3.9m Anglo-Australian Telescope (AAT),"Butler et al. 2006 (ApJ, 646, 505)",HD 142 A d,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,108.45299,0.09021,-0.08819,0.474,0.021,-0.023,0.13,0.103,-0.085,,,,89.593,43.508,-56.789,2450799.614,9.46,-25.864,,,,0.26,0.032,-0.036,0.26,0.032,-0.036,9.826,0.936,-0.928,1.21,0.17,-0.17,,,,,,,Radial Velocity,2022.0,1.0
UID_0000522_RVC_002.tbl,HD 142,27,1359.0445000003092,3.9m Anglo-Australian Telescope (AAT),"Tinney et al. 2002 (ApJ, 571, 528)",HD 142 b,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,351.43394,0.3746,-0.3777,1.039,0.046,-0.051,0.158,0.033,-0.03,,,,279.518,12.954,-13.394,2450530.681,13.134,-13.481,,,,1.249,0.12,-0.13,1.249,0.12,-0.13,32.043,1.058,-1.115,1.21,0.17,-0.17,,,,,,,Radial Velocity,2001.0,1.0
UID_0000522_RVC_002.tbl,HD 142,27,1359.0445000003092,3.9m Anglo-Australian Telescope (AAT),"Tinney et al. 2002 (ApJ, 571, 528)",HD 142 c,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,10159.64279,380.8401,-321.75084,9.811,0.515,-0.52,0.277,0.026,-0.027,90.374,10.495,-12.319,279.051,5.178,-6.022,2447170.556,378.654,-464.595,,,,10.901,1.278,-0.937,,,,93.181,2.088,-2.173,1.21,0.17,-0.17,,,,,,,Radial Velocity,2012.0,1.0
UID_0000522_RVC_002.tbl,HD 142,27,1359.0445000003092,3.9m Anglo-Australian Telescope (AAT),"Tinney et al. 2002 (ApJ, 571, 528)",HD 142 A d,HD 142,HD 142,HIP 522,TIC 389757979,1.5836771,-49.0753625,26.1853,108.45299,0.09021,-0.08819,0.474,0.021,-0.023,0.13,0.103,-0.085,,,,89.593,43.508,-56.789,2450799.614,9.46,-25.864,,,,0.26,0.032,-0.036,0.26,0.032,-0.036,9.826,0.936,-0.928,1.21,0.17,-0.17,,,,,,,Radial Velocity,2022.0,1.0
UID_0000544_RVC_001.tbl,HD 166,17,2940.0148200001568,10m Keck I,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0000544_RVC_002.tbl,HD 166,22,6167.106509999838,3.0m Shane,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0000544_RVC_003.tbl,HD 166,22,2661.898199999705,3.0m Shane,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0001292_RVC_001.tbl,GJ 3021,61,458.91021100012586,1.2m Euler Swiss telescope,"Naef et al. 2001 (A&A, 375, 205)",GJ 3021 b,GJ 3021,HD 1237,HIP 1292,TIC 290543478,4.0634323,-79.8514218,17.5559,133.71,0.2,-0.2,0.49,,,0.511,0.017,-0.017,,,,290.7,3.0,-3.0,2451545.86,0.64,-0.64,,,,3.37,0.09,-0.09,3.37,0.09,-0.09,167.0,4.0,-4.0,0.9,,,0.9,,,5540.0,75.0,-75.0,Radial Velocity,2000.0,1.0
