file,n_obs,t_baseline_days,P,K,e,omega_deg,msini,mstar,t_peri
synth_00000.npz,44,1795.098321000114,181.4,91.5,0.027,177.3,3.2,1.4,48.939309876766075
synth_00001.npz,20,436.7545999996364,1129.0,144.0,0.85,190.0,3.5,0.843,46.2591085239638
synth_00002.npz,52,3063.6800000001676,5.452654,343.0,0.432,21.9,,1.392,0.09011947797517628
synth_00003.npz,34,5019.258030000143,2422.32597,60.122,0.164,174.268,,1.646,1970.0056210429318
synth_00004.npz,22,2188.9648000001907,811.3,2.56,0.089,-10.8862,0.0991,0.785167,740.5185998454156
synth_00005.npz,41,2293.850700000301,7596.0,71.3,0.19,110.44,12.2,2.41,4608.005352727499
synth_00006.npz,30,748.9079999998212,4.36305,4.157,0.376,279.492,0.033,1.1,3.1828299704012344
synth_00007.npz,48,4049.9353199996985,6.1406325,8.97,0.25,31.67,,0.901,3.338201290404798
synth_00008.npz,63,16.21430000010878,649.918,11.4,0.24,168.84,0.48170406,1.04,607.7203995232987
synth_00009.npz,44,771.9129999997094,2.42629,2.89,0.0,90.0,,1.07,1.979497319829532
synth_00010.npz,89,4195.712999999989,2448.48726,113.94,0.377,271.934,,1.1,6.705182778115442
synth_00011.npz,44,3370.8835700000636,1733.0,5.9,0.37,90.0,0.23,0.58,1485.8816113262576
synth_00012.npz,35,216.39900000020862,1155.7,15.3,0.27,121.6,0.73,0.94,38.81484938052515
synth_00013.npz,19,6167.0641800002195,10.91647,2.7,0.05561,90.0,,0.99,7.965261791289092
synth_00014.npz,48,3563.2391900001094,16.20166,4.26,0.0,90.0,,0.8208,2.8459126420916565
synth_00015.npz,26,1128.873900000006,551.40002,33.5,0.15,90.0,2.01,1.84,475.9568750473059
synth_00016.npz,35,2597.924599999562,325.803,108.24,0.35,-82.17,3.76,1.15,176.40968994081481
synth_00017.npz,19,146.76072999974713,256.2,0.95,0.08,51.6,0.014,0.33,76.78618635567798
synth_00018.npz,36,3005.832088999916,12.8747099,221.0,0.131,82.0,,1.198,5.441975351356983
synth_00019.npz,55,2201.963160000276,0.54937097,2.18,0.0,90.0,,0.8048,0.015558005207264
synth_00020.npz,20,436.7545999996364,41.83156,6.675,0.05,318.187,0.12,1.08,5.1989633378881
synth_00021.npz,33,453.95807000016794,18.261608,5.25,0.0,90.0,0.06324167,0.896,12.246680176364515
synth_00022.npz,42,1859.9830000000075,5.12338,0.392,0.0,90.0,0.00081805,0.1221,3.3157977998092814
synth_00023.npz,48,310.18330000014976,48.36685,38.4,0.0,90.0,,1.194,29.764239379247083
synth_00024.npz,17,747.9602999999188,12.885779,2.1,0.0,90.0,,0.756,4.943984171479138
synth_00025.npz,29,4335.020000000019,3700.0,110.7,0.487,185.6,8.29,1.18,3689.6767624200806
synth_00026.npz,28,2689.783216000069,1.682795,325.0,0.0,90.0,,1.204,1.650544803915946
synth_00027.npz,35,216.39900000020862,5.340888,3.4,0.089,90.0,,0.79,3.6614029584091283
synth_00028.npz,77,1118.6139500001445,10839.83341,80.473,0.313,96.716,,1.11,7050.870194732295
synth_00029.npz,15,274.20014999993145,124.64,1.68,0.22,323.0,0.04209819,1.07,85.80800049836198
synth_00030.npz,21,468.97252400033176,279.3,17.0,0.044,300.0,0.57,1.06,108.6257537173637
synth_00031.npz,154,869.7405300000682,989.2,18.1,0.15,212.0,0.94,1.11,133.63746276816917
synth_00032.npz,24,224.59419999970123,81.73778,2.09,0.21,90.0,,0.892,58.97285522334901
synth_00033.npz,44,3301.1345700002275,4.193649,1080.0,0.38,136.0,,1.496,2.203151629096005
synth_00034.npz,16,2574.980900000315,674.94,16.07,0.0,90.0,0.77,1.21,209.39465148976154
synth_00035.npz,19,146.76072999974713,3.8016122,156.0,0.0,90.0,,1.313,1.846957627326307
synth_00036.npz,34,328.06628999998793,4.5207265,27.1,0.0,90.0,,1.215,4.021131224169136
synth_00037.npz,22,465.8064030003734,842.2,14.0,0.22,45.0,0.74,1.25,786.6514491383535
synth_00038.npz,20,3343.880539999809,2751.53433,18.427,0.078,186.316,,2.058,984.4857668541098
synth_00039.npz,31,1235.716000000015,2.30538,2.72,0.0,90.0,0.00786588,0.297,1.3175934411677763
synth_00040.npz,200,5843.779229999986,48.056,10.9,0.05,75.0,0.21,1.12,15.467755457545476
synth_00041.npz,23,2633.819279999938,1.7100566,185.1,0.0,90.0,,1.239,1.0162866890231907
synth_00042.npz,28,2521.965199999977,1103.0,54.7,0.03,17.19,3.07,1.12,372.716081734368
synth_00043.npz,23,1089.966899999883,51.76,1.09,0.02,355.2,0.0164,0.77,20.270199467337626
