host,pl_name,split,earth_score,P_tab_d,P_tab_err_d,P_tab_err_lo_d,P_tab_err_hi_d,K_tab_ms,K_tab_err_ms,K_tab_err_lo_ms,K_tab_err_hi_ms,e_tab,e_tab_err,e_tab_err_lo,e_tab_err_hi,omega_tab_rad,P_pred_d,K_pred_ms,e_pred,omega_pred_rad,halfwidth_log10_P_a01,halfwidth_log10_K_a01,halfwidth_e_a01,halfwidth_omega_a01,P_cp_lo_d,P_cp_hi_d,K_cp_lo_ms,K_cp_hi_ms,widths_source
GJ 649,GJ 649 b,test,2.2124070009943533,600.0998449514279,1.7,-1.7,1.7,9.709999654151195,0.54,-0.53,0.55,0.08299999684095383,0.0615,-0.055,0.068,0.052359877795371025,864.8101986297298,18.114637407356014,0.30770659747445384,3.080732916055101,1.9828578399288492,1.0316822439051123,1.0241936135239298,,8.9962799730283,83133.99337240036,1.6840206066433858,194.85515029061037,papernorm_per_system
HD 141004,HD 141004 b,val,2.666637216045045,15.50829864166709,0.0017000000000000001,-0.0018,0.0016,3.4499999398809527,0.355,-0.35,0.36,0.1599999964237213,0.10500000000000001,-0.1,0.11,0.34000060778517904,11.36263530315419,18.274966045093336,0.38304084014894824,-2.4288858173865657,2.2591686632940053,1.4451679773339576,1.2183390865292085,,0.06256196838039864,2063.7055446762024,0.6556749644536932,509.35967065263964,papernorm_per_system
HD 2952,HD 2952 b,test,2.7917861898360856,312.0800688904931,1.525,-1.69,1.36,18.42000162900802,2.48,-2.43,2.53,0.26899999380111694,0.1575,-0.15,0.165,-2.7157323177158745,96.72289094067011,30.75161232871939,0.6512447770826675,-1.7613742346008057,1.7685562201965617,0.9094403377163356,0.9823133934322434,,1.6480601125850793,5676.563348922024,3.7881533656457242,249.63658266635412,papernorm_per_system
HD 147513,HD 147513 b,val,3.0053118475239664,528.4000576103695,6.3,-6.3,6.3,29.299996340293607,1.8,-1.8,1.8,0.25999999046325684,0.05,-0.05,0.05,-1.3613568273766112,494.4766449372256,41.000207443950636,0.4608410026385359,1.8913571172507126,1.4392278497071722,1.0598593706346808,1.0365559704682694,,17.985310261740246,13594.825378604102,3.572125292927601,470.5929587003027,papernorm_per_system
HD 173416,HD 173416 b,test,3.0299015739518373,322.03006770648545,1.425,-1.52,1.33,35.32999900952344,4.265000000000001,-4.46,4.07,0.20800000429153442,0.0915,-0.094,0.089,-2.0577431809450824,182.84139014758728,61.55276665364845,0.2803939626107209,0.4545718566413213,1.4787397622304794,1.0183446026234175,0.8973392316071123,,6.072041796720981,5505.7219746339015,5.900692398962306,642.0844922173512,papernorm_per_system
HD 10647,HD 10647 b,test,3.057975629553985,989.1999380827921,8.1,-8.1,8.1,18.10000221298143,1.7,-1.7,1.7,0.15000000596046448,0.08,-0.08,0.08,-2.5830872880919507,890.6949927375337,23.971957759305393,0.5745716471836391,-2.666665175898466,1.2432092979786824,0.8056695229885196,0.7284940411907278,,50.87679123578176,15593.309853428002,3.750023426377062,153.24031171962628,papernorm_per_system
HD 231701,HD 231701 b,val,3.0966673058101977,141.62999290121132,0.067,-0.067,0.067,39.199997330485985,1.2,-1.2,1.2,0.12999999523162842,0.032,-0.032,0.032,1.186823908690243,126.01362377016676,41.60528493863292,0.1519095861786589,0.24060910686071244,1.4787397622304794,1.0183446026234175,0.8973392316071123,,4.184829211105306,3794.5236411440137,3.988447667599691,434.0033715088401,papernorm_per_system
HD 206610,HD 206610 b,test,3.1764855492335338,673.1999475795506,3.3,-3.3,3.3,35.399998485561966,1.0,-1.0,1.0,0.10000000149011612,0.042,-0.042,0.042,-0.45378560611195523,852.3111110104672,39.286351930134735,0.272457473193258,2.60134257333947,0.9008180428064657,0.3906441046689949,0.34548481123164887,,107.0976909087423,6782.912159804548,15.980766211643719,96.57969008105847,papernorm_per_system
HD 32518,HD 32518 b,val,3.3505698194679328,157.35000125646965,0.09,-0.08,0.1,98.88000625598077,5.74,-5.88,5.6,0.02800000086426735,0.026500000000000003,-0.019,0.034,-0.6178465413825883,110.80657853495622,97.88664997826463,0.1038315248559371,-1.839435940793388,1.8173591898164871,0.9825487248666164,0.8820947663656893,,1.6873545821702667,7276.536879895981,10.190013064881246,940.3124591655231,papernorm_per_system
HD 73534,HD 73534 b,test,3.3547065041973596,1749.999558305246,24.0,-24.0,24.0,17.110000488266003,0.93,-0.93,0.93,0.12600000202655792,0.057,-0.057,0.057,2.932153154171508,1106.7352643901397,34.575103870086245,0.2561566185550892,2.511185960511481,1.6251925116905568,0.870828038426651,0.7505753420334692,,26.233197964346942,46691.33161383531,4.65516903157033,256.79793784501857,papernorm_per_system
