host,pl_name,split,earth_score,P_tab_d,P_tab_err_d,P_tab_err_lo_d,P_tab_err_hi_d,K_tab_ms,K_tab_err_ms,K_tab_err_lo_ms,K_tab_err_hi_ms,e_tab,e_tab_err,e_tab_err_lo,e_tab_err_hi,omega_tab_rad,P_pred_d,K_pred_ms,e_pred,omega_pred_rad,halfwidth_log10_P_a01,halfwidth_log10_K_a01,halfwidth_e_a01,halfwidth_omega_a01,P_cp_lo_d,P_cp_hi_d,K_cp_lo_ms,K_cp_hi_ms,widths_source
GJ 649,GJ 649 b,test,2.2124070009943533,600.0998449514279,1.7,-1.7,1.7,9.709999654151195,0.54,-0.53,0.55,0.08299999684095383,0.0615,-0.055,0.068,0.052359877795371025,864.8101986297298,18.114637407356014,0.30770659747445384,3.080732916055101,1.0557169499741774,0.7195527133305022,0.5382568413880202,,76.0683248706799,9831.906788081056,3.4552297631841573,94.96910795813046,papernorm_per_system
HD 141004,HD 141004 b,val,2.666637216045045,15.50829864166709,0.0017000000000000001,-0.0018,0.0016,3.4499999398809527,0.355,-0.35,0.36,0.1599999964237213,0.10500000000000001,-0.1,0.11,0.34000060778517904,11.36263530315419,18.274966045093336,0.38304084014894824,-2.4288858173865657,2.2386868158263913,1.2921811110247086,1.739483294504369,,0.06558314692278673,1968.638089058015,0.9325571746394363,358.12751542921984,papernorm_per_system
HD 2952,HD 2952 b,test,2.7917861898360856,312.0800688904931,1.525,-1.69,1.36,18.42000162900802,2.48,-2.43,2.53,0.26899999380111694,0.1575,-0.15,0.165,-2.7157323177158745,96.72289094067011,30.75161232871939,0.6512447770826675,-1.7613742346008057,2.120740260347778,1.1278564123754313,1.2089954608081959,,0.7324685941157427,12772.312297177428,2.290928202760012,412.7853765458707,papernorm_per_system
HD 147513,HD 147513 b,val,3.0053118475239664,528.4000576103695,6.3,-6.3,6.3,29.299996340293607,1.8,-1.8,1.8,0.25999999046325684,0.05,-0.05,0.05,-1.3613568273766112,494.4766449372256,41.000207443950636,0.4608410026385359,1.8913571172507126,1.0185073462928154,0.6126352538133782,0.8839486651739692,,47.384732971814294,5160.040735774843,10.00347290724171,168.04334115105806,papernorm_per_system
HD 173416,HD 173416 b,test,3.0299015739518373,322.03006770648545,1.425,-1.52,1.33,35.32999900952344,4.265000000000001,-4.46,4.07,0.20800000429153442,0.0915,-0.094,0.089,-2.0577431809450824,182.84139014758728,61.55276665364845,0.2803939626107209,0.4545718566413213,2.1015117168426514,0.6724800415792895,0.9110406413674355,,1.4473141154430473,23098.630486906044,13.084813491080848,289.5527005639829,global_raw
HD 10647,HD 10647 b,test,3.057975629553985,989.1999380827921,8.1,-8.1,8.1,18.10000221298143,1.7,-1.7,1.7,0.15000000596046448,0.08,-0.08,0.08,-2.5830872880919507,890.6949927375337,23.971957759305393,0.5745716471836391,-2.666665175898466,0.7449353077075715,0.6748915518555906,0.4396685578919819,,160.24840041376908,4950.673879048274,5.067712304701053,113.3953003371649,papernorm_per_system
HD 231701,HD 231701 b,val,3.0966673058101977,141.62999290121132,0.067,-0.067,0.067,39.199997330485985,1.2,-1.2,1.2,0.12999999523162842,0.032,-0.032,0.032,1.186823908690243,126.01362377016676,41.60528493863292,0.1519095861786589,0.24060910686071244,1.346657254055806,0.8453317858107484,0.7576442292525214,,5.67231377507121,2799.4631477328294,5.940414026344301,291.39378621561895,papernorm_per_system
HD 206610,HD 206610 b,test,3.1764855492335338,673.1999475795506,3.3,-3.3,3.3,35.399998485561966,1.0,-1.0,1.0,0.10000000149011612,0.042,-0.042,0.042,-0.45378560611195523,852.3111110104672,39.286351930134735,0.272457473193258,2.60134257333947,1.0185073462928154,0.6126352538133782,0.8839486651739692,,81.67531230776022,8894.171438422236,9.585316310770299,161.01893750174725,papernorm_per_system
HD 32518,HD 32518 b,val,3.3505698194679328,157.35000125646965,0.09,-0.08,0.1,98.88000625598077,5.74,-5.88,5.6,0.02800000086426735,0.026500000000000003,-0.019,0.034,-0.6178465413825883,110.80657853495622,97.88664997826463,0.1038315248559371,-1.839435940793388,0.7370734435688154,0.37615441165659225,0.5738350663166277,,20.29981600079673,604.8378884883256,41.16888017696282,232.74366955769304,papernorm_per_system
HD 73534,HD 73534 b,test,3.3547065041973596,1749.999558305246,24.0,-24.0,24.0,17.110000488266003,0.93,-0.93,0.93,0.12600000202655792,0.057,-0.057,0.057,2.932153154171508,1106.7352643901397,34.575103870086245,0.2561566185550892,2.511185960511481,1.0185073462928154,0.6126352538133782,0.8839486651739692,,106.05628296210973,11549.178523278191,8.435838167460473,141.70942873683978,papernorm_per_system
