host,mse_tab,mse_psi,chi2_tab,chi2_psi,mse_star,chi2_star
HD 2039,0.13509882986545563,0.05442238599061966,2.413357973098755,1.0539766550064087,0.05440807342529297,1.0539630651474
HD 2039,0.24122412502765656,0.1249106302857399,4.174434185028076,2.555225372314453,0.07495345175266266,1.186476230621338
HD 2952,0.8910976052284241,0.751300573348999,33.49874496459961,27.353429794311523,0.6660168170928955,24.987783432006836
HD 4308,0.7623693346977234,0.7265293002128601,9.575606346130371,8.792369842529297,0.7623693346977234,9.575606346130371
HD 4308,0.17330552637577057,0.34443533420562744,1.7181687355041504,3.540555000305176,0.17228339612483978,1.6923702955245972
HD 10647,0.3839491307735443,0.41722342371940613,3.4377310276031494,3.07384991645813,0.3455934524536133,3.2325329780578613
HD 17156,0.005069807171821594,0.10766977071762085,6.719580173492432,165.92300415039062,0.005069807171821594,6.719580173492432
HD 17156,0.4166209101676941,0.1159835159778595,4.752583980560303,1.2513350248336792,0.11885517090559006,1.2771333456039429
HD 17156,0.0013504193630069494,0.209156334400177,9.075825691223145,1708.6812744140625,0.0013504193630069494,9.075825691223145
HD 73534,0.08060605078935623,0.04930034652352333,12.331663131713867,7.489205360412598,0.06205321475863457,9.220026969909668
GJ 436,0.2394721359014511,0.38650453090667725,2.5600030422210693,4.057870864868164,0.2394721359014511,2.5600030422210693
GJ 436,0.15246738493442535,0.7641669511795044,1.4113448858261108,7.298011302947998,0.15246738493442535,1.4113448858261108
GJ 436,0.1410883516073227,0.8135823607444763,5.432254314422607,30.032875061035156,0.1410883516073227,5.432254314422607
HD 130322,0.014792967587709427,0.015792684629559517,10.299846649169922,10.285157203674316,0.014792967587709427,10.299846649169922
HD 130322,0.049098074436187744,0.04470239207148552,2.1691746711730957,1.7849619388580322,0.0437951534986496,1.7906830310821533
HD 130322,0.017160603776574135,0.013374501839280128,2.7549893856048584,2.0631117820739746,0.017160603776574135,2.7549893856048584
HD 139357,0.015490329824388027,0.01548563502728939,2.8304219245910645,2.8244433403015137,0.015485676005482674,2.824228286743164
HD 145457,0.03770937770605087,0.031159985810518265,3.0634748935699463,2.677395820617676,0.03115997277200222,2.6773650646209717
HD 149143,0.010287716053426266,0.09977015852928162,6.555341720581055,48.140411376953125,0.010287716053426266,6.555341720581055
GJ 649,0.23977208137512207,0.22519828379154205,14.808666229248047,12.238019943237305,0.19456559419631958,9.917354583740234
HD 173416,0.1785493791103363,0.09503725916147232,5.515564441680908,2.9394264221191406,0.0950382798910141,2.9423649311065674
HD 173416,0.34137412905693054,0.23860129714012146,1.1652392148971558,0.7486886382102966,0.20288564264774323,0.676940381526947
HD 179949,0.05151066556572914,0.44739821553230286,12.097867965698242,90.46797943115234,0.05151066556572914,12.097867965698242
HD 179949,0.03571527078747749,0.476691871881485,9.577637672424316,134.51580810546875,0.03571527078747749,9.577637672424316
HD 179949,0.07145829498767853,0.32486289739608765,11.31932544708252,45.51474380493164,0.07145829498767853,11.31932544708252
HD 179949,0.02080659195780754,0.39204296469688416,2.197749376296997,41.12102508544922,0.02080659195780754,2.197749376296997
HD 206610,0.07405230402946472,0.05957157909870148,25.883188247680664,20.332704544067383,0.033629413694143295,11.8851900100708
HD 208527,1.3389167785644531,0.32500848174095154,158.27386474609375,38.60115432739258,0.3430556356906891,42.72809982299805
HD 216770,0.270379900932312,0.17553912103176117,5.785499572753906,3.180943489074707,0.13532273471355438,2.5072178840637207
51 Peg,0.05354182794690132,0.32882627844810486,2.216299057006836,16.387123107910156,0.05354182794690132,2.216299057006836
51 Peg,0.03321164846420288,0.058978818356990814,2.7252354621887207,3.761767864227295,0.03321164846420288,2.7252354621887207
51 Peg,0.09024960547685623,0.8293266296386719,2.9859204292297363,27.419557571411133,0.09024960547685623,2.9859204292297363
HD 240237,0.47029009461402893,0.2240285873413086,56.315513610839844,30.21470069885254,0.2600170969963074,34.53707504272461
HD 222582,0.2556210458278656,0.0011030362220481038,330.5527038574219,1.5446456670761108,0.0021768806036561728,2.8877341747283936
HD 222582,0.187703475356102,0.0060535999946296215,90.49059295654297,3.135152816772461,0.001752507989294827,0.9484825134277344
