host,pl_name,split,param,space,unit,pred_phys,tab_phys,cat_sigma_phys,cp_halfwidth_cmp,bayes_halfwidth_cmp,width_ratio_cp_over_bayes,pred_minus_tab_cmp,cp_covers_tab,bayes_covers_pred,omega_near_vacuous
GJ 649,GJ 649 b,test,P,log10,dex,608.5139286064555,600.0998449514279,1.7,2.072310453820767,0.0020237143848600998,1024.0133041125894,0.006047008925703423,True,False,False
GJ 649,GJ 649 b,test,K,log10,dex,16.082503619415323,9.709999654151195,0.54,0.5118999795585576,0.03972815140191241,12.885069188845168,0.21913444337229082,True,False,False
GJ 649,GJ 649 b,test,e,linear,-,0.212014739387572,0.0829999968409538,0.0615,1.0716399176474314,0.10116135,10.593373038689494,0.1290147425466182,True,False,False
GJ 649,GJ 649 b,test,omega,angle,rad,-3.140585233945472,0.052359877795371,41.5,8.558101278522928,1.1914202159412712,7.183109002193381,3.090240195438743,True,False,True
HD 141004,HD 141004 b,val,P,log10,dex,10.361839110007969,15.50829864166709,0.0017000000000000001,2.0997348212100007,7.83084409606116e-05,26813.64608275304,-0.17512731093750888,True,False,False
HD 141004,HD 141004 b,val,K,log10,dex,17.897379584013013,3.4499999398809527,0.355,0.6085610469455096,0.07350774116943747,8.278870187872577,0.7149703616024325,False,False,False
HD 141004,HD 141004 b,val,e,linear,-,0.3127027903066918,0.1599999964237213,0.10500000000000001,0.7376462243716345,0.17271450000000002,4.270899226015386,0.15270279388297048,True,True,False
HD 141004,HD 141004 b,val,omega,angle,rad,3.095574673485438,0.340000607785179,36.955799999999996,2.473955328093112,1.0609611377417452,2.3318057939039347,2.7555740657002588,False,False,False
HD 2952,HD 2952 b,test,P,log10,dex,80.3505608609703,312.0800688904931,1.525,2.53344467422966,0.0034908213415523297,725.7445816757454,-0.5892771206112104,True,False,False
HD 2952,HD 2952 b,test,K,log10,dex,54.17848541717175,18.42000162900802,2.48,0.8961368472009902,0.09618023380361682,9.317266258998128,0.4685371957095934,True,False,False
HD 2952,HD 2952 b,test,e,linear,-,0.6403100853631998,0.2689999938011169,0.1575,0.9320439730331956,0.25907175,3.5976287381128804,0.3713100915620829,True,False,False
HD 2952,HD 2952 b,test,omega,angle,rad,-2.95030624047277,-2.7157323177158745,35.2,2.488031066199642,1.0105540144851266,2.462046590817102,-0.23457392275689548,True,True,False
HD 147513,HD 147513 b,val,P,log10,dex,423.8639608523305,528.4000576103695,6.3,1.7630164726129622,0.008517291383414926,206.99262162686486,-0.09573636416030773,True,False,False
HD 147513,HD 147513 b,val,K,log10,dex,35.15289657592259,29.299996340293607,1.8,0.3729342692659892,0.04388627810647367,8.497742013145963,0.07909355030575482,True,False,False
HD 147513,HD 147513 b,val,e,linear,-,0.3522483499826483,0.2599999904632568,0.05,1.0336753933424412,0.08224500000000001,12.56824601303959,0.09224835951939153,True,False,False
