host,pl_name,split,earth_score,P_tab_d,P_tab_err_d,P_tab_err_lo_d,P_tab_err_hi_d,K_tab_ms,K_tab_err_ms,K_tab_err_lo_ms,K_tab_err_hi_ms,e_tab,e_tab_err,e_tab_err_lo,e_tab_err_hi,omega_tab_rad,P_pred_d,K_pred_ms,e_pred,omega_pred_rad,halfwidth_log10_P_a01,halfwidth_log10_K_a01,halfwidth_e_a01,halfwidth_omega_a01,P_cp_lo_d,P_cp_hi_d,K_cp_lo_ms,K_cp_hi_ms,widths_source
GJ 649,GJ 649 b,test,2.2124070009943533,600.0998449514279,1.7,-1.7,1.7,9.709999654151195,0.54,-0.53,0.55,0.08299999684095383,0.0615,-0.055,0.068,0.052359877795371025,608.5139286064555,16.082503619415323,0.21201473938757204,-3.1405852339454716,2.072310453820767,0.5118999795585576,1.0716399176474314,8.558101278522928,5.151812750914211,71875.51629130018,4.94827329939382,52.27013687788669,papernorm_per_system
HD 141004,HD 141004 b,val,2.666637216045045,15.50829864166709,0.0017000000000000001,-0.0018,0.0016,3.4499999398809527,0.355,-0.35,0.36,0.1599999964237213,0.10500000000000001,-0.1,0.11,0.34000060778517904,10.361839110007969,17.897379584013013,0.3127027903066918,3.095574673485438,2.0997348212100007,0.6085610469455096,0.7376462243716345,2.473955328093112,0.0823572854271319,1303.681989818467,4.407866190365608,72.66921955897155,papernorm_per_system
HD 2952,HD 2952 b,test,2.7917861898360856,312.0800688904931,1.525,-1.69,1.36,18.42000162900802,2.48,-2.43,2.53,0.26899999380111694,0.1575,-0.15,0.165,-2.7157323177158745,80.3505608609703,54.17848541717175,0.6403100853631998,-2.95030624047277,2.53344467422966,0.8961368472009902,0.9320439730331955,2.488031066199642,0.23525791208294794,27443.126454323636,6.881609310282592,426.5438721888375,papernorm_per_system
HD 147513,HD 147513 b,val,3.0053118475239664,528.4000576103695,6.3,-6.3,6.3,29.299996340293607,1.8,-1.8,1.8,0.25999999046325684,0.05,-0.05,0.05,-1.3613568273766112,423.8639608523305,35.15289657592259,0.3522483499826483,2.361999399490842,1.7630164726129622,0.3729342692659892,1.0336753933424412,3.9901180231410724,7.3149273893990845,24560.825794360335,14.894531496472753,82.96508943367225,papernorm_per_system
HD 173416,HD 173416 b,test,3.0299015739518373,322.03006770648545,1.425,-1.52,1.33,35.32999900952344,4.265000000000001,-4.46,4.07,0.20800000429153442,0.0915,-0.094,0.089,-2.0577431809450824,265.23519701735495,59.359031887097586,0.2400661169254928,0.561145587194131,2.811927944951861,0.3784230247815153,1.1550381616453034,53.85955518999597,0.4089810729786737,172012.14037722346,24.834978276327345,141.8762934828921,papernorm_per_system
HD 10647,HD 10647 b,test,3.057975629553985,989.1999380827921,8.1,-8.1,8.1,18.10000221298143,1.7,-1.7,1.7,0.15000000596046448,0.08,-0.08,0.08,-2.5830872880919507,1276.7489654952972,40.821056858958165,0.6839375114694682,3.0452416701524587,1.7893488059275715,0.7597064404436952,0.6203153854817673,3.291146451118443,20.737514786905155,78605.7508647392,7.098683348261771,234.74193752991263,papernorm_per_system
HD 231701,HD 231701 b,val,3.0966673058101977,141.62999290121132,0.067,-0.067,0.067,39.199997330485985,1.2,-1.2,1.2,0.12999999523162842,0.032,-0.032,0.032,1.186823908690243,81.7261259905654,38.96975137190128,0.15282104618677894,0.12380033353349468,2.811927944951861,0.3784230247815153,1.1550381616453034,53.85955518999597,0.12601811175092523,53001.585062844984,16.304392069531243,93.14309392901292,papernorm_per_system
HD 206610,HD 206610 b,test,3.1764855492335338,673.1999475795506,3.3,-3.3,3.3,35.399998485561966,1.0,-1.0,1.0,0.10000000149011612,0.042,-0.042,0.042,-0.45378560611195523,432.8562451955636,37.00772156249574,0.34123846294556615,1.9949567771469012,1.7630164726129622,0.3729342692659892,1.0336753933424412,3.9901180231410724,7.470113753682829,25081.884317013188,15.680433993107439,87.34270083654745,papernorm_per_system
HD 32518,HD 32518 b,val,3.3505698194679328,157.35000125646965,0.09,-0.08,0.1,98.88000625598077,5.74,-5.88,5.6,0.02800000086426735,0.026500000000000003,-0.019,0.034,-0.6178465413825883,183.56905509115657,95.84412434271931,0.18217091912670316,-2.5330838593379954,1.7599632211487886,1.2642691977224207,0.5132802789228588,3.0881327549877287,3.190334727334668,10562.402025825166,5.2155041605425465,1761.3055014928893,papernorm_per_system
HD 73534,HD 73534 b,test,3.3547065041973596,1749.999558305246,24.0,-24.0,24.0,17.110000488266003,0.93,-0.93,0.93,0.12600000202655792,0.057,-0.057,0.057,2.932153154171508,1273.0226244419475,27.896939278780014,0.13340984253934413,2.7905390458714634,1.2649169232851878,0.5207829540479222,0.8379430051345113,3.854667215843175,69.17022666309204,23428.96186005675,8.409566382150869,92.54213425031472,papernorm_per_system
