host,mse_tab,mse_psi,chi2_tab,chi2_psi,mse_star,chi2_star
HD 2039,0.13509882986545563,1.3920656442642212,2.413357734680176,30.002187728881836,0.056193385273218155,1.0811043977737427
HD 2039,0.24122421443462372,1.167040228843689,4.174436092376709,17.3157958984375,0.07522477209568024,1.1629831790924072
HD 2952,0.8910976052284241,1.1976001262664795,33.49874496459961,37.30772399902344,0.6676346659660339,25.37881851196289
HD 4308,0.7623693346977234,4.530396938323975,9.575607299804688,66.4555435180664,0.7600253224372864,9.28151798248291
HD 4308,0.17330554127693176,9.16978645324707,1.71816885471344,106.46558380126953,0.17330554127693176,1.71816885471344
HD 10647,0.3839491307735443,0.5556365251541138,3.4377307891845703,5.904911994934082,0.3467333912849426,3.3455212116241455
HD 17156,0.3987314701080322,0.68840491771698,75.83883666992188,119.05168914794922,0.32690900564193726,64.42276763916016
HD 17156,0.9230769276618958,0.923076868057251,3.308107852935791,3.308107614517212,0.923076868057251,3.3081202507019043
HD 17156,0.4280860424041748,0.8021811246871948,4.478675365447998,9.851686477661133,0.36281105875968933,4.121795654296875
HD 17156,0.005069826263934374,1.134850263595581,6.719607830047607,1662.7392578125,0.005069826263934374,6.719607830047607
HD 17156,0.4166203737258911,0.6609053611755371,4.752574443817139,14.659499168395996,0.1205969899892807,1.2795939445495605
HD 17156,0.001350422389805317,0.8795678615570068,9.075835227966309,6425.083984375,0.001350422389805317,9.075835227966309
HD 73534,0.08060605078935623,0.7171720862388611,12.331661224365234,118.94068908691406,0.07542511075735092,10.757845878601074
GJ 436,0.23947212100028992,1.0041775703430176,2.5600032806396484,11.228262901306152,0.23947212100028992,2.5600032806396484
GJ 436,0.15246738493442535,1.4201492071151733,1.4113450050354004,13.102605819702148,0.15246738493442535,1.4113450050354004
GJ 436,0.1410883516073227,1.3099817037582397,5.432254314422607,45.722469329833984,0.1410883516073227,5.432254314422607
HD 130322,0.014792978763580322,1.502485752105713,10.299853324890137,1041.7567138671875,0.014792978763580322,10.299853324890137
HD 130322,0.04909807816147804,1.3250768184661865,2.1691741943359375,58.951011657714844,0.044778551906347275,1.8887602090835571
HD 130322,0.017160601913928986,0.9673085808753967,2.7549891471862793,163.31153869628906,0.017160601913928986,2.7549891471862793
HD 139357,0.015490332618355751,0.10237998515367508,2.830421209335327,21.194643020629883,0.01650984026491642,2.965014934539795
HD 145457,0.03770938515663147,0.2764557898044586,3.0634751319885254,24.240480422973633,0.039038993418216705,3.2662618160247803
HD 149143,0.010287716053426266,1.316636562347412,6.555341720581055,777.9017333984375,0.010287716053426266,6.555341720581055
GJ 649,0.23977208137512207,1.5103461742401123,14.808666229248047,47.73043441772461,0.20256423950195312,10.730170249938965
HD 173416,0.1785493642091751,0.7581278681755066,5.515564441680908,22.74817657470703,0.10792626440525055,3.62941575050354
HD 173416,0.34137412905693054,0.33296820521354675,1.1652392148971558,1.0259772539138794,0.24311137199401855,0.7783390283584595
HD 179949,0.05151066556572914,1.6976934671401978,12.09786605834961,308.63653564453125,0.05151066556572914,12.09786605834961
HD 179949,0.03571527078747749,1.0786575078964233,9.577635765075684,339.74664306640625,0.03571527078747749,9.577635765075684
HD 179949,0.07145828753709793,0.9561994671821594,11.31932258605957,104.64323425292969,0.07145828753709793,11.31932258605957
HD 179949,0.02080659568309784,1.5368398427963257,2.1977503299713135,172.451416015625,0.02080659568309784,2.1977503299713135
HD 206610,0.07405232638120651,0.6054593920707703,25.88319206237793,208.1475372314453,0.0542326457798481,19.031068801879883
HD 208527,1.3389167785644531,1.184863567352295,158.27386474609375,137.6177978515625,0.35652756690979004,45.12583541870117
HD 216770,0.2703799307346344,1.184258222579956,5.785500526428223,25.530431747436523,0.2703799307346344,5.785500526428223
