id,g,l,time_values,trajectory_values
0,9.81,3.5705833846166457,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4241724309828533,0.34926789135213115,0.03517801226726411,-0.4985943343430035,-0.5344965865026388,-0.3128722685953653,0.14083429198829467,0.5456517608395759,0.4584187187611699,0.2736642403297951,-0.30193251820453393,-0.7314636661473384,-0.45612665767864047,-0.14222492735330194,0.43077928935849386,0.6755176121859119,0.5193232650821485,-0.046480145325734724,-0.49996215154569207,-0.6058416816901775,-0.5154125452557693"
1,9.81,0.742194584610002,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6932681574034331,-0.3669816792361533,-0.432378278002224,0.5264775689311348,-0.32185825188366735,-0.04416451981667456,0.23925289508843073,-0.4737578174124019,0.05714883096319623,0.6908979828616589,-0.6588366416440473,0.3264212668529145,0.19066103651348815,-0.5209706558801162,0.5355526523705433,0.06911478961063483,-0.5533566672259778,0.6278939513397853,0.09556752758081843,-0.5395215582981348,0.7688428686117657"
2,9.81,1.4916194274767511,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5168001195321894,0.06055326897640924,-0.6292274029231159,-0.37588583241414397,0.4085955782570031,0.38123884837117206,-0.18967286596560598,-0.9346187775513278,-0.2067463695983628,0.43516852327695354,0.23161773301403582,-0.5534753278125504,-0.7428803340958443,0.1438186359410238,0.5552846717797786,0.1940971006756176,-0.6958965131354509,-0.4073033474812018,0.5242018790213812,0.5712309994479821,-0.21615285049944835"
3,9.81,1.3296731481440136,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6402927511524334,0.17433058890200376,-0.3565721856695402,-0.04849956479367981,0.4668047820988616,0.3946109490228313,-0.39530877092680394,-0.503633653068385,0.34148028846834705,0.5391666025026326,-0.3794514119105479,-0.8663919609254191,0.15196345302617784,0.55873251790386,0.07592792248441277,-0.8892509015046565,-0.4004912140498722,0.3963304766599232,0.3153588811118587,-0.6336107303645309,-0.5430723375829525"
4,9.81,1.2915765548826366,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5685789297579059,-0.11197379111656061,-0.5820689916505839,-0.15118288718022674,0.48722766655998223,0.3551426801606653,-0.4236377609577199,-0.4838448302596659,0.4647302424710989,0.17629047191107072,-0.3853255478066377,-0.5663788559134185,0.236035281165526,0.6850879712065779,-0.05450229555401846,-0.834491463327467,-0.053608078819425795,0.6246775463599392,0.16744094307562699,-0.5937064804531001,-0.25870499144102577"
5,9.81,4.154425279950981,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6880746275725018,0.2094883345577398,0.01569617111901528,-0.3364240678187304,-0.5435958801099439,-0.47406942294479126,0.10691470122090307,0.46852705192023925,0.5794693037263295,0.5293707125267567,0.15587491011022794,-0.2789995028237661,-0.528862323583195,-0.58604344790871,-0.3557420518118413,0.3185980398669942,0.5417419747380672,0.6251158935718214,0.17305038998021566,-0.2971857449853114,-0.5759991290814223"
6,9.81,4.6550524911217535,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.588122385096977,0.3197233949655718,0.027875898029300704,-0.43743513843999543,-0.5784694782744526,-0.5794072018367095,-0.2151922821276632,0.21169162503886485,0.5034934334018386,0.651138585635132,0.44908752433630605,0.06749112325545949,-0.4252103814478441,-0.685235527449462,-0.43624574344356515,0.2103617313507767,0.2448531316157609,0.33798589808093416,0.46719560177314123,0.17908215977222028,-0.10638001564108163"
7,9.81,1.7445847900869782,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7070887863679585,0.5150995612163856,-0.638348233371688,-0.3840913417511419,0.20555736149972803,0.7749417397152245,0.21671753847621889,-0.465449168333395,-0.6365626372371841,0.07936474853239735,0.5981340721093759,0.40487629292184363,-0.5234031727125222,-0.655911632783289,-0.19196775889006082,0.5049958868617931,0.4555384351195408,-0.41761672215887624,-0.28144590760767585,-0.1326650267155366,0.6097299189822403"
8,9.81,4.188895527168509,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5996914226197839,0.5033456616741225,0.019648451705424147,-0.4382427475510102,-0.49084199062095957,-0.4233255094177002,-0.07808247374136157,0.4833972093315846,0.6154793002705664,0.5300427976890706,0.17970782789993098,-0.5019950989547362,-0.7160030641395425,-0.544093116079579,0.018299527029919854,0.35945773430774125,0.5656950145834189,0.1294036470420903,0.3739039590157813,-0.24621003504427819,-0.4816826082178167"
9,9.81,4.504517119000337,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6841389146901479,0.4928725888962844,-0.0530427289018716,-0.49350025494981065,-0.5952719602901633,-0.5719554916768212,-0.1962900852406829,0.13205399974699364,0.5478383740285112,0.5899060116582244,0.09415709201628647,-0.12669447976748566,-0.4679124958924273,-0.6701717764102295,-0.6396023161999564,0.01937984933080636,0.4719561683238364,0.6533643109235372,0.4213480830972935,0.2632065347424464,-0.421239637186338"
10,9.81,2.8083670485328933,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4909714706030601,0.38841045367172705,-0.4075804777516431,-0.7144281896056021,-0.30878666134746635,0.16029684492314822,0.38019496914918716,0.4387391539115607,0.20897959116008646,-0.33657229604087585,-0.625761049250962,-0.35009781349725755,0.35480898985762716,0.8805481324370541,0.5429244111860294,-0.008432656313868588,-0.5460239791617145,-0.7369937632901705,-0.2715721708053105,0.4004254469941257,0.6533863650559978"
11,9.81,1.6023407048095841,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7720864743621512,0.23240098267293227,-0.5249694460358648,-0.4654265232962414,0.30235066187307813,0.44079910480456586,0.11212481585155272,-0.7237216100127183,-0.49279439953865883,0.4235171132993791,0.4116890536572337,-0.18957718486540653,-0.7651140347267674,-0.28085696591121545,0.44376399385449117,0.5994105453687029,-0.24796444518499094,-0.736869390118649,-0.10310488026429881,0.5244399731981003,0.46647097414967487"
12,9.81,4.209087182438351,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5945354272620401,0.4096131241057657,0.009741434566543326,-0.5007400649742748,-0.377365673642083,-0.5649422645391026,-0.1649338894189593,0.4358579135112177,0.7158604359045013,0.8185681616058132,0.2179491049634654,-0.3425017219105751,-0.7855280284094291,-0.4790657019112727,-0.35719540706258546,0.34920126423092296,0.401992254458575,0.6823149572373397,0.27383030978397094,-0.16800185072300475,-0.3692540065496714"
13,9.81,1.4619333351879296,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6480235495586774,0.09713200974458697,-0.5284888681004953,-0.2347965007718715,0.5214812721326908,0.34999905182265983,-0.26161566601219954,-0.4948278169061362,0.13568445434268822,0.577882592599401,0.3281432668657626,-0.3809257513314811,-0.6105289412211721,0.333787817822071,0.45487020755736784,0.08248828039787987,-0.9393199099138152,-0.2558985196189645,0.593392516685426,0.462535044934982,-0.4600928799232485"
14,9.81,3.8366017350561936,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.49519907815455544,0.3501559055289021,-0.032465585191839036,-0.5304137541253295,-0.6224833234215612,-0.5516969264909216,0.06844805773831962,0.3929596417356854,0.4291754259807098,0.712264158219174,-0.014265770574312067,-0.5690891509217402,-0.6729316384678544,-0.3579076353125652,0.2541224416683741,0.2676529393821915,0.47552471534753876,0.34625109793028447,-0.3899594864128175,-0.7847519342573499,-0.559839069531014"
15,9.81,3.3347309206535636,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5310346975257889,0.15716141720860666,-0.21659146995775386,-0.6468059262113752,-0.6570797396043158,-0.17040971420394968,0.2947831039902638,0.6843951194660653,0.2759932250995768,-0.03265920863359456,-0.35531298401821276,-0.5798344083903569,-0.2974508854944641,0.04192489362703582,0.45921992624111047,0.5925358468902301,0.07833233143084381,-0.3282380421750244,-0.6404062095555069,-0.3542337876415462,-0.10317620373662614"
16,9.81,4.673332663363252,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5424789781460205,0.3640752551033809,0.04961010609981152,-0.5279040301926232,-0.5623016405788263,-0.4675919975349079,-0.20492399114882776,0.10710346182164127,0.4495986948098376,0.63935613116921,0.47160633062260626,-0.07008564820437219,-0.5034146334237195,-0.5795933651580941,-0.45896493395246474,0.11268305060451783,0.2523844961637063,0.6714286344766859,0.7005748712662592,0.1614373481428661,-0.1333506221741532"
17,9.81,1.5435868487288846,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6097521065799612,0.21901856665125796,-0.6467207004994255,-0.34183863943427073,0.31073294348572433,0.4928136823447063,-0.06035319925469146,-0.9678254562297633,-0.3683422815945792,0.21941203869925519,0.5533580146508127,-0.23195416994218315,-0.7868957374923353,-0.15518706371949825,0.6518183078072024,0.31690084865180423,-0.423247716675497,-0.5931659378462072,0.053441875921671725,0.6106297489925607,0.16523633064267929"
18,9.81,4.0960630787903725,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.54275035225033,0.5680569278718659,0.012433666984465328,-0.4401653249205275,-0.6360166307869284,-0.5997215461475003,-0.05772765886746893,0.49643999798176897,0.6462469543137511,0.39830876515917507,0.095094360961678,-0.4153849652338811,-0.53295248902292,-0.6188748012335861,0.0034693472019327043,0.3412237781362685,0.6046414791495931,0.3756270588074655,0.1953229356479586,-0.2563161817845079,-0.5656215407935764"
19,9.81,2.831742665837214,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6924440091349383,0.1759076828794565,-0.21221286792613694,-0.5719633357327574,-0.425790605819036,0.0659007466889317,0.34267315315050606,0.5728435591698138,0.24300415624215704,-0.41372977484639717,-0.6404180360831565,-0.3707064767283003,0.12008288163825863,0.6344137068701642,0.6112936535309333,0.17005492195765914,-0.5905627668507408,-0.8197949941909501,-0.1302228972271195,0.3973278328280469,0.7094968442683102"
20,9.81,1.5420003116768037,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6081622628277978,0.21657842814362688,-0.5961097197137263,-0.405154804802914,0.31434616204346455,0.39270664264834887,0.03220766244019024,-0.5265783444718648,-0.376967260945809,0.5029203311172329,0.1944421056118536,-0.27598105718599164,-0.8341266440458814,-0.17939913118593723,0.44010079144372904,0.35623655551386985,-0.46188329325078537,-0.61694121661278,0.13984674449160361,0.5914570993216438,0.09195500681040475"
21,9.81,1.2465679695833505,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6390396619764038,-0.010119058722989294,-0.7010838729701705,-0.06594554300863764,0.6179044026401681,0.23247667156436488,-0.6510333952668967,-0.22500349450208654,0.7074087064539395,0.4118780486134275,-0.6421613424849197,-0.45051557611487886,0.4384136126870835,0.5934522850073417,-0.3360128386271442,-0.5000511848639446,0.3413964005946821,0.4895323086752018,-0.37993152421584575,-0.690064011473921,0.2140760414508604"
22,9.81,2.7400503582400724,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4569121033112059,0.44916948360987746,-0.7971638541443851,-0.7339043585259337,-0.4002521855633868,0.062043774251615044,0.512130993003055,0.5369225175507975,0.08875265888772955,-0.4413920117354257,-0.597093123229925,-0.3079086646584816,0.09984018743626699,0.6613278966730114,0.3680745175691151,-0.1885714207105838,-0.627982167274777,-0.5691492552355912,-0.00711842015523511,0.5073594340074957,0.6507439981216718"
23,9.81,3.1222608827689395,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6520973629144113,0.48540089330303576,-0.1060418080387893,-0.7204556288562091,-0.3877773365205981,-0.15097026338941538,0.2778538256187689,0.4833067194561349,0.2828164586298765,-0.42270428985626785,-0.5289981787575873,-0.6361413218869669,-0.12527868728436534,0.1995490360917388,0.6659742025753418,0.2775413523294451,-0.215331115355094,-0.6806906196063713,-0.6545420922580295,-0.12592232514801446,0.31592650697879726"
24,9.81,1.3295209434281587,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5258162202423811,0.24671095505275165,-0.6170937069487289,-0.19595664728918155,0.5362421735931749,0.3830308168877542,-0.40808257288931166,-0.4934613764172334,0.31814035073744684,0.0743956805166347,-0.23572905628641128,-0.39934659451800814,0.10379037077972272,0.4907264403988698,0.015615863202192104,-0.7485386385772969,-0.2415233876251407,0.5312399366460303,0.41724323699398097,-0.47980561772723196,-0.6936170796075488"
25,9.81,0.567027125421045,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5549342363248526,-0.6734632981008017,0.8504798022299255,-0.5464639648819878,0.8491310697847553,-0.8431649956244449,0.35905772964823635,-0.9942307669486626,0.4569197159284479,-0.6612439466529506,0.6191801424791503,-0.435722350287559,1.0611044677707289,-0.6726648296537958,0.7786265746962631,-1.0513643505575803,0.5035951980619247,-0.6494989138027835,0.45852044616093357,-0.722620016699573,0.842007278491034"
26,9.81,2.6200995300070735,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.74627158982999,0.3779933649661785,-0.38215478475457465,-0.5523806454441587,-0.4169176209049703,0.06646735755759449,0.7318383371208357,0.5538826081444724,0.08981605241967824,-0.4688638756871548,-0.5680015821456137,-0.12413184409167231,0.20731239296653262,0.792894402213977,0.26397322103435333,-0.3178381471486114,-0.6317720466105785,-0.32198421051284926,0.17293599372032337,0.7447038210808886,0.2340504976639114"
27,9.81,3.7770949768246775,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6116600293665391,0.7252789116399133,0.11266221201360369,-0.39586793034860995,-0.6395741603276806,-0.7467418619553342,0.09438725009645572,0.5561382807603581,0.6951153107866133,0.5304998656372825,-0.2272012033689284,-0.6918609278562822,-0.6188943749710613,-0.2550073780570102,0.1562238471807747,0.509933918018601,0.5422335511013849,0.1292432950083939,-0.3467294378832459,-0.4878565410132232,-0.5945006895105505"
