id,g,l,time_values,trajectory_values
0,9.81,2.6135295996414456,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6692174797652226,0.18451111136061615,-0.1347884043668589,-0.6397620878923883,-0.701739879336532,0.1339177507695709,0.49762872971209293,0.4320641257578438,-0.007754704509784539,-0.3864029058427029,-0.5621728586761346,-0.10863613263469088,0.3061702503099281,0.7783547734366651,0.28233070960443796,-0.3485860527052896,-0.5258079940226701,-0.3448073971198444,0.40236642166936276,0.7913676623348345,0.3681160618881644"
1,9.81,2.5144488417070514,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5445660683016321,0.15456343873883036,-0.2106643496005624,-0.49964951158165594,-0.5356044405821029,0.1929600797595988,0.6063575807575412,0.3770581892951914,-0.14272420149459147,-0.635165862344882,-0.8174676632551114,-0.057414071318178134,0.6083095818586047,0.6186734879375558,-0.039061088241759565,-0.5397276560468431,-0.6216036114099305,-0.17975896332147362,0.4251086819081572,0.4803079858020405,0.09378787774136355"
2,9.81,1.0582556274484494,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.8185597703640248,-0.1437927900716255,-0.49376847770339277,0.21656560238127492,0.7574315067332704,-0.2629450405620734,-0.49912980107549754,0.49891392263022755,0.31868154680091154,-0.4446646395512803,-0.391300111906622,0.5911394534052716,0.08374991042347511,-0.5927095618202892,-0.03347863605710641,0.5823851350755023,-0.03485561817780844,-0.6055663606815742,0.20656187317089036,0.5728089127061518,-0.39086217307998317"
3,9.81,3.8968249166424935,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4964709352788399,0.3671738429009215,0.10039162269315359,-0.4658057060394329,-0.5781654664909011,-0.413120057386958,0.04244964051775579,0.5346439959775798,0.6203261039707777,0.21213020263502774,-0.1584833588649731,-0.4376137524886781,-0.6713870265769251,-0.40272393007446367,0.1416514612703436,0.4697139603586663,0.3972492027456529,0.4219339373699159,-0.0755085027949624,-0.7246723929659318,-0.5055691943212751"
4,9.81,4.878448046463118,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6174847777611271,0.5409244092843366,0.07075144251696548,-0.4097082359959755,-0.6805299383861313,-0.5304069974122219,-0.25852445132994833,0.15176275214775778,0.6724118520372113,0.5204861427842219,0.41230423557372586,-0.03694405630196769,-0.6082690300073624,-0.7720972441573781,-0.43351925135212105,-0.2026575378656812,0.3270140963660357,0.23227026663472244,0.6256359570879786,0.5155747870736136,0.16565394627534213"
5,9.81,0.8735890875796966,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7045022298348046,-0.3100654323002166,-0.45419111643995064,0.390883733202758,0.21529115712186342,-0.8692844027603424,0.4763443864663306,0.3234184078989847,-0.6834994564000461,0.030567262991753434,0.5999917695625288,-0.40042764801957176,-0.19287285649254202,0.589878166201462,-0.04141767985212197,-0.5315737252684427,0.5634562841122568,0.28817431961164053,-0.7499359506355681,0.05141224713396461,0.6518876528995305"
6,9.81,1.8693868690108288,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6762684186878208,0.19936164472313309,-0.3497949970732548,-0.807464137867132,-0.02519016075344309,0.688889819908889,0.26057089702581293,-0.4073391700766218,-0.5455846567540645,-0.23762396176070644,0.41868457525091807,0.5650877254478923,-0.08549822264411866,-0.7060777735749505,-0.3461145110619024,0.29839602389359465,0.6411279536475065,0.26835076937449787,-0.35718291654063405,-0.6526774946155821,0.06581878631094264"
7,9.81,4.0822370748647785,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.583322188952663,0.4100726694902769,-0.021472107635224835,-0.5481430647916465,-0.573323380376787,-0.5217185579163539,-0.20241376811564304,0.3968493418062492,0.7663356548466713,0.4276464942856254,0.180495773009473,-0.43569873316501073,-0.6505317935645056,-0.5014100835259635,-0.08617286239271911,0.3232734795640285,0.5178169479015106,0.538417984930687,0.0766242088102568,-0.15270036179231516,-0.7061370134794825"
8,9.81,2.3049085014814255,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6067401063884577,0.528998354908718,-0.2671675593938302,-0.6601562943715475,-0.24032391384451623,0.5370308191472521,0.4101324761114304,0.39195082108810914,-0.4615286374861772,-0.6676536910831324,-0.2334252308299895,0.3406604771513071,0.6243256965309769,0.340381735321419,-0.19782174991709356,-0.7576670603654997,-0.33117082049078267,0.3868002666953096,0.5155572148430296,0.2228357596821749,-0.3367319027873845"
9,9.81,4.921677413361546,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5968196082565007,0.5389326108968036,0.2909768276121337,-0.3355090760659118,-0.6576283462791106,-0.5509287559903985,-0.2266986800928804,0.17172241695785867,0.6968635470112798,0.6479498125308157,0.47419199522127914,0.1256451880324811,-0.3855482918961648,-0.6404888431074041,-0.5482257248978295,-0.3776891150237804,0.0862191821212219,0.5015655896201918,0.6842283487529961,0.42598191552132925,0.2839681451072401"
