feature,log10_P,log10_K,e,cos_omega,sin_omega
spectral_power_001,0.005384966772117592,0.004389342970903859,0.022790517927068942,0.030173143466421706,0.030834743248156844
spectral_power_002,0.020844744039311226,0.0127669117438515,0.05172222755396306,0.076018890521991,0.07565627594233663
spectral_power_003,0.0055089147049696445,0.003943858143350679,0.016726400321932854,0.026529532932804575,0.02718028694452982
spectral_power_004,0.004648125031327659,0.0031839685725480295,0.014521782044359827,0.024904855576555737,0.024580851562281594
spectral_power_005,0.003002292414770493,0.0019428672963442003,0.009752630770350747,0.01651854486424877,0.01659696868818738
spectral_power_006,0.002191789242695654,0.0012703921552627096,0.0073145745133662505,0.01167323675946226,0.011937633991405279
spectral_power_007,0.001811901635516798,0.00102986936674448,0.005639396276357075,0.008958887953863598,0.008987322796947105
spectral_power_008,0.0013728556328512765,0.0008180257579137678,0.0045032986763186775,0.006828562661462116,0.007713190067716186
spectral_power_009,0.0012565979937831538,0.0007720137807911184,0.004050136543930711,0.0055899420143749705,0.006095929698105458
spectral_power_010,0.001080420678142772,0.0007174235361280604,0.0034767373765075215,0.004614967096567053,0.005070246756264626
spectral_power_011,0.0010694149644347845,0.0006440256435171995,0.0029761905668236467,0.004230580583953576,0.004335869283360186
spectral_power_012,0.0009070699087488447,0.0005649726666956492,0.0027724311053985195,0.003826929259938897,0.003840281773508224
spectral_power_013,0.0009297908025224215,0.0005458493978789369,0.0024702008308252854,0.003383273478521543,0.0036314616508457604
spectral_power_014,0.0009884128256517045,0.0005366578632763131,0.0024845281635424983,0.003172615551119379,0.003341799291822676
spectral_power_015,0.0009111860728742655,0.000497874148273515,0.002383601700978203,0.002836211962256259,0.003111284261927321
spectral_power_016,0.0008842982519049002,0.0005376597045100895,0.0022854116297574387,0.0027195443556765823,0.0029986787821648132
spectral_power_017,0.0008387437173260253,0.0005471013585051064,0.0021792666459065917,0.0027292120085623556,0.0029360777317767018
spectral_power_018,0.000821600579039085,0.0005017474091583472,0.0021225758463782676,0.002480338436850718,0.0025749995288936556
spectral_power_019,0.0007669382329327461,0.0005538443708419727,0.0019618342254198963,0.0025396980253064097,0.0024813449150733425
spectral_power_020,0.0007780962352573287,0.0004915371042945697,0.0020859029126985822,0.0024491826799415495,0.002332010412969131
spectral_power_021,0.0007794825273634528,0.0004998541449535681,0.0020944019650076294,0.0022938665973079534,0.0023710330433632373
spectral_power_022,0.0007371498547352327,0.0005091999137365674,0.0018959962551188384,0.0023418102922959892,0.002368401838325952
spectral_power_023,0.0007781204733461257,0.0004743106287269062,0.0018967089213449053,0.0021556107244950513,0.0023548830276023435
spectral_power_024,0.0007390051987781665,0.0004365989891229936,0.0018451962741509696,0.0022279307766506933,0.0024040162569710496
spectral_power_025,0.0007378850620547838,0.0004530969424699394,0.0018621027270936921,0.002141121476544291,0.0022282643612163314
spectral_power_026,0.0007307617459884888,0.000492850813869537,0.0017262552228577662,0.00212203212847681,0.002200121747295707
spectral_power_027,0.0006981023872885381,0.00045490681501135656,0.0017443652609048402,0.002117359333507234,0.0021403219316821188
spectral_power_028,0.0007314021490998015,0.0004207206255642072,0.0017076735022799297,0.00218915772763441,0.0020678233577231192
spectral_power_029,0.00077956983892477,0.0004429470355965302,0.0017689177685300235,0.0021512070072015554,0.002167061247126296
spectral_power_030,0.0007087669507774287,0.0004288781157075878,0.0016938580913085958,0.0021115014144342525,0.0020998358182564123
spectral_power_031,0.0007321371743523394,0.0004269974632027711,0.00173527284393803,0.0020460582696772327,0.001995812192478861
spectral_power_032,0.000706738941577464,0.0004517807257676351,0.0016469209754150338,0.0020201313317865953,0.002035647046575703
spectral_power_033,0.000724667058059636,0.0004514488371079121,0.0015565334731300964,0.00201962950085219,0.0020277116153792256
spectral_power_034,0.0007441338755647895,0.0004071732118112475,0.0016412644136277663,0.002038489330410386,0.002042297680567799
spectral_power_035,0.0006580921885174774,0.00037713986260089145,0.0016085773012730039,0.002065607473472413,0.0020231678550517132
spectral_power_036,0.0007114992101599631,0.0004320179291906723,0.0015998458837024215,0.0018911258972589674,0.0020025990528565337
spectral_power_037,0.0007743825353927568,0.00043970438443322946,0.0015487269808369033,0.0018956470547925952,0.0021298565228309967
spectral_power_038,0.0007551325144937017,0.0004482276905628736,0.0016142693297428775,0.0021146134985099954,0.002117484948668188
spectral_power_039,0.000648419004723793,0.0004204810054123076,0.0016085833477315614,0.0021052683373646843,0.0020171129142861903
spectral_power_040,0.0007355251456353773,0.0004032149970772926,0.0015597002028865875,0.0018985152022382727,0.0019554623055742237
spectral_power_041,0.0006998030410197718,0.00045019158933061384,0.0017257295603736603,0.002021709167903521,0.002064305786911012
spectral_power_042,0.000618099491634607,0.00042900343127253115,0.0016157912421948444,0.0019608273621188853,0.0019704014834988318
spectral_power_043,0.0006789622540630733,0.0003942955205609534,0.0017157045370947768,0.00193476641607602,0.001958820579639192
spectral_power_044,0.0007487624785702366,0.0004506567805121452,0.0016338988043569337,0.0018951807651610923,0.0020808839496135557
spectral_power_045,0.0007182178948059502,0.00041955125667838487,0.0015832955916586478,0.0019381018072242556,0.0019542899361158074
spectral_power_046,0.0007178188423768147,0.00042495613103661856,0.0016649610075785471,0.001847346729812359,0.0017802819091437122
spectral_power_047,0.0006650966153538044,0.00046597206074842044,0.0016846706525424156,0.0019112474320222151,0.0020210575505826165
spectral_power_048,0.0006890971765027521,0.00043076331569802786,0.001577169806164597,0.001967686080851724,0.0018354677399887301
spectral_power_049,0.0006554428765007522,0.00040926526427184645,0.0015978765998477793,0.0018271617958630258,0.0019039966338903964
spectral_power_050,0.0007317798354258388,0.0004293170906689864,0.0016128199055467076,0.0018719360846583097,0.0019187570274052312
spectral_power_051,0.000808289633162407,0.00042731142205607557,0.001700790698533463,0.0018776134879931157,0.0018445913594491343
spectral_power_052,0.0006687565619876654,0.00044236458537835267,0.0017248776661326491,0.0019541840665475404,0.0019125448871504353
spectral_power_053,0.0006333980621234489,0.0004267301933588889,0.0015820646311882772,0.001917303019621179,0.001881460709945288
spectral_power_054,0.0007391346534879967,0.0003897572289218239,0.0016104398100862142,0.001964142758347858,0.00188047295635255
spectral_power_055,0.0006776936020458784,0.000402571216918582,0.0015923455211633065,0.0018878603871359287,0.001875965257743468
spectral_power_056,0.0007745192469797015,0.0004331694836604458,0.00183802716521727,0.0019251810429024663,0.001932905117966169
spectral_power_057,0.0005822374128552774,0.0004479883730344228,0.0015719309469859086,0.0018676257702078063,0.0018965484755475706
spectral_power_058,0.0007279564974430888,0.0004327999077012363,0.0016266126443037806,0.0019155389169525977,0.0018398329120050988
spectral_power_059,0.000675022671866782,0.00038663961772559207,0.0015880262025761323,0.0019056114134959295,0.001943700697856171
spectral_power_060,0.0006322012046185023,0.0004307150670200728,0.0014827340693200253,0.0018804430464917244,0.0018152411679575168
spectral_power_061,0.0006583278450071306,0.0003734801383784527,0.0016604510927078168,0.0018594059250705646,0.0018846355247189117
spectral_power_062,0.0007066825156156242,0.00036426644953171624,0.0016928373532584368,0.0018578758358580353,0.0019026392034595
spectral_power_063,0.0006369446241245618,0.0004446369914841399,0.0015362870385303153,0.0018266799041756706,0.0018999439434340825
spectral_power_064,0.0006702834816973436,0.00036274293269119104,0.0015281647914211446,0.0018450510871241192,0.0018885221950594702
n_obs,0.018880284972330068,0.007726009570600274,0.04059785366355902,0.040369951810191394,0.041568568476978957
baseline_d,0.04552188449503752,0.03062529960291652,0.05359579451719867,0.0437571435542687,0.044885375036038684
rv_std_ms,0.03258238671950375,0.7541371836143759,0.1328417988107568,0.09291209935481529,0.08900799517794572
